행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
힐러리 한 바이올린 리사이틀,달서아트센터 청룡홀,세계 최정상 바이올리니스트 리사이틀,2023-06-01,2023-06-01,19:30,21:30,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,455,60000-120000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
버라이어티 리듬: 장르를 허물다,달서아트센터 와룡홀,5월 문화가 있는 날 정기공연,2023-06-02,2023-06-02,15:00,16:00,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,209,10000,5세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
버라이어티 리듬: 장르를 허물다,달서아트센터 와룡홀,5월 문화가 있는 날 정기공연,2023-06-02,2023-06-02,19:30,20:30,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,209,10000,5세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
"Playlist : Untitled, 여름",달서아트센터 청룡홀,계절에 맞는 향기와 함께 즐기는 소규모 음악회,2023-06-21,2023-06-21,19:30,20:30,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,50,20000,13세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
해설이 있는 코믹 무용극 사또전,달서아트센터 청룡홀,6월 문화가 있는 날 정기공연,2023-06-30,2023-06-30,19:30,20:30,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,455,10000,5세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
레몬 뮤직 페스티벌 인 달서,달서아트센터 청룡홀,인디 뮤지션과 함께하는 청춘 페스티벌,2023-07-01,2023-07-02,17:00,19:00,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,455,10000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
오페라 피가로의 결혼,달서아트센터 와룡홀,해설이 있는 소규모 오페라,2023-07-07,2023-07-07,19:30,21:00,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,209,20000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
오페라 사랑의 묘약,달서아트센터 와룡홀,해설이 있는 소규모 오페라,2023-07-07,2023-07-07,19:30,20:30,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,209,20000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
(예술단) 춘천시립합창단 특별연주회 오페라 칸타타 윤동주,춘천문화예술회관,문학과 인문학적 베이스와 함께 시인 윤동주의 일대기 그리고 그의 아름다운 시를 바탕으로 한 다양한 오페라 무대,2022-11-24,2022-11-25,19:30,21:00,유료,춘천시립예술단,춘천문화재단,033-259-5874,강원도 춘천시청,940,10000원,만 7세 이상,경로 50+국가유공자 50+봉사활동(1천시간) 50+장애인 50+춘천 거주지역 30+예술단원전용 30+예술인 패스 50+유료회원 100+일반 단체 10인 이상 50+학생 단체 10인 이상 70+청소년 50+재예매 30+수험생 무료 공연 관람 100,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=2326&search_type=close&page=4,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
춘천가톨릭신협 제5회 춘천가톨릭신협 문화아카데미 전시회,춘천문화예술회관,"성미술, 민화, 문인화, 캘리그라피, 한글서예, 한문서예, 캐리커쳐, 한지공예, 사랑자수, 종이접기 전시회",2019-07-11,2019-07-13,13:00,16:00,무료,춘천가톨릭신협,춘천가톨릭신협,033-255-6742,,940,,,,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=1440&search_type=close&page=39,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
춘천시립교향악단 특별연주회 브런치 콘서트 로시니 세빌리아의 이발사,춘천문화예술회관,로시니 오페라 세빌리아의 이발사 갈라콘서트,2020-10-24,2020-10-24,11:00,12:30,유료,춘천문화재단,춘천문화재단,033-259-5869,강원도 춘천시청,940,10000원,만 5세 이상,,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=1601&search_type=close&page=32,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
(재단교육사업) 2022 신나는 오케스트라 제13회 정기연주회,춘천문화예술회관,신나는 오케스트라 제13회 정기연주회,2022-12-16,2022-12-16,19:30,20:50,무료,춘천문화재단,춘천문화재단,033-259-5436,강원도 춘천시청,940,,5세 이상,,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=2356&search_type=close&page=2,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
강원도립무용단 기획공연 아바이,춘천문화예술회관,6.25 한국전쟁 70주년 특별기획공연,2020-06-16,2020-06-16,19:00,20:30,유료,강원도청,강원도립무용단,033-251-4417,,940,10000원,만 5세 이상,,,http://www.cccf.or.kr,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
(기획) 필하모닉스 내한공연,춘천문화예술회관,클래식의 전통성을 살리면서 클래식의 편견을 완전히 깨는 새로운 음악을 선사한다.,2022-12-20,2022-12-20,19:30,21:20,유료,춘천문화재단,춘천문화재단,033-259-5822,,940,R석 50000원+S석 40000원+A석 20000원,초등학생 이상,패키지 100+당일할인 90+국가유공자 50+장애인 50+경로 50+단체 40+예술인 40+학생 40+예술단 유료회원 40+워라밸 인증기업 30+재예매 30+모임할인 20+재단 홈페이지 회원 10+출연진 및 스탭 50,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=2259&search_type=close&page=2,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
제4회 봄내 전국시낭송대회,축제극장몸짓,춘천의 아름다움을 시낭송으로 승화하여 봄내 춘천의 아름다움을 전국에 알리다,2022-12-19,2022-12-19,14:00,16:00,무료,강원도민일보,춘천문화재단,033-259-5836,강원도 춘천시청+춘천시의회,124,,7세 이상,,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=2367&search_type=close&page=2,,Y,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,37.87309537,127.727858,2023-01-20,4180000,강원도 춘천시
(예술단) 춘천시립교향악단 2022 신년음악회 송유진 상임지휘자 취임 기념,춘천문화예술회관,송유진 상임지휘자 취임 기념,2022-01-20,2022-01-20,19:30,21:30,무료,춘천시립예술단,강원도 춘천시청+춘천문화재단,033-259-5869,,940,,만 7세 이상,,,http://www.cccf.or.kr,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
(예술단) 춘천시립예술단 2022 송년음악회,춘천문화예술회관,춘천시민께 감사의 의미를 담아 초대하는 송년 음악회,2022-12-15,2022-12-15,19:30,21:30,무료,춘천시립예술단,강원도 춘천시청+춘천문화재단,033-259-5879,,940,,만 7세 이상,,사전 인터넷 예매 필수,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=2346&search_type=close&page=2,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
(대관) 제13회 강원교사합창단 정기연주회,춘천문화예술회관,찾아가는 음악회를 통해 아름다운 세상을 만드는 합창단,2022-11-26,2022-11-26,17:00,18:00,무료,춘천문화재단,춘천문화재단,033-259-5824,,940,,전체관람가,,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=2350&search_type=close&page=4,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
(대관) 제17회 소양강처녀가요제,춘천문화예술회관,제17회 소양강처녀가요제,2022-10-05,2022-10-05,19:00,22:00,무료,춘천예총+춘천연예협회,춘천예총,033-243-4360,강원도 춘천시청+춘천문화재단,940,,만 7세 이상,,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=2296&search_type=close&page=7,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
2020 역발상전,문화공간역,"춘천 외 활동작가 5인 춘천 활동작가 5인이 참여하는 전시이다. 2021역발상전은 서울, 경기권을 기반으로 작업하는 작가들이 함께 참여 하였고 2022 역발상전은 충청도권을 기반으로 작업하는 작가들이 함께 참여한다.",2022-03-04,2022-03-24,10:00,18:00,무료,민족미술인협회 춘천지부,강원도 춘천시청,033-252-0731,,,,전체관람가,,,http://www.cccf.or.kr,,N,강원도 춘천시 영서로 2260(퇴계동),강원도 춘천시 퇴계동 633-2 남춘천역,37.864068,127.7239152,2023-01-20,4180000,강원도 춘천시
만나고 싶었습니다 창작의 자극 그리고 예술로 환기,공간공일갤러리,작가들은 각자 그동안 사회적 거리두기 상황으로 예술적 자극의 기회를 갖지 못했거나 자발적 절제로 동기부여의 활동을 할 수 없었다면 위드코로나로 전환된 지금 그 동기와 자극을 찾을 수 있는 방법을 제시하고자 한다.,2022-03-04,2022-03-16,10:00,18:00,무료,예술밭사이로+춘천문화재단,예술밭사이로+춘천문화재단,,,,,,,,http://www.cccf.or.kr,,N,강원도 춘천시 향교앞길 13-4,강원도 춘천시 교동 140,37.87993475,127.7344005,2023-01-20,4180000,강원도 춘천시
김태희 튜바 독주회 (Kim Taehee Tuba Recital),춘천문화예술회관,김태희 튜바 독주회,2019-12-29,2019-12-29,19:30,21:00,무료,김태희,김태희,,강원도청+강원문화재단+한국예술종합학교,940,,초등학생 이상,,,http://www.cccf.or.kr,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 531-25,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
(예술단) 춘천시립합창단 어린이 음악회 도깨비와 노래주머니,춘천문화예술회관,춘천시립합창단의 어린이음악회,2022-05-12,2022-05-13,11:00,12:30,유료,춘천문화재단,춘천문화재단,033-259-5874,강원도 춘천시청+춘천문화재단,,,만 24개월 이상,경로할인+국가유공자+장애인할인+단체할인,,http://www.cccf.or.kr,,Y,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531,37.87309537,127.727858,2023-01-20,4180000,강원도 춘천시
춘천시립교향악단 패밀리콘서트1,춘천문화예술회관,어린이를 위한 그림자극을 겸한 교향악 공연,2022-05-07,2022-05-07,11:00,12:30,유료,춘천문화재단,춘천문화재단,033-259-5869,강원도 춘천시청+춘천문화재단,,,만 5세 이상,경로할인+국가유공자+장애인할인+단체할인,,http://www.cccf.or.kr,,Y,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531,37.87309537,127.727858,2023-01-20,4180000,강원도 춘천시
춘천시립인형극단 제2회 정기공연 참 좋다,춘천인형극장,한국이 사랑하는 작가 박완서의 동화 보시니 참 좋았다 원작,2021-12-10,2021-12-11,19:00,20:00,유료,춘천시립예술단,강원도 춘천시청+춘천문화재단,070-4633-5798,,697,10000원,만 5세 이상,,,http://www.cccf.or.kr,,Y,강원도 춘천시 영서로 3017 춘천인형극장,강원도 춘천시 사농동 277-3,37.92101625,127.7201045,2023-01-20,4180000,강원도 춘천시
(특별) Recovery 춘천 놀我YOU,춘천문화예술회관,전통과 현대의 힙한 무대,2022-11-30,2022-11-30,19:30,21:00,유료,춘천시문화재단,춘천문화재단,033-259-5837,,940,10000원,5세 이상,국가유공자 50+장애인 50+경로 50+예술인 40+청소년 40+재구매 30+워라밸인증기업임직원 30+손편지할인 20+춘천문화재단 누리집 회원 10,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=2333&search_type=close&page=3,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
2020 문화가 있는 날 트리오 가온 여름밤의 실내악,춘천문화예술회관,트리오 가온 여름밤의 실내악,2020-08-26,2020-08-26,19:30,20:30,유료,춘천문화재단,춘천문화재단,033-259-5824,,940,20000원,초등학생 이상,,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=1594&search_type=close&page=33,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
(기획) 달의 목소리 (연극),춘천문화예술회관,"정정화, 장강일기로 영원을 살다",2020-08-18,2020-08-19,19:30,20:30,유료,한국문화예술회관연합회+극단 독립극장,춘천문화재단+문화체육관광부+한국문화예술위원회,033-259-5821,,940,20000원,만 13세 이상,,,https://www.cccf.or.kr/Home/H10000/H10200/concertDetail?conct_no=1593&search_type=close&page=33,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
화이트데이 콘서트: SURL,달서아트센터 청룡홀,인디밴드 SURL 단독콘서트,2023-03-12,2023-03-12,17:00,19:00,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,455,50000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
최하영 첼로 리사이틀,달서아트센터 청룡홀,퀸 엘리자베스 국제 콩쿠르 우승자 리사이틀,2023-03-24,2023-03-24,19:30,21:00,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,455,30000-50000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
내 아이와 함께 크는 본질육아,달서아트센터 청룡홀,유레카 극장,2023-03-28,2023-03-28,10:30,12:00,유료,(재)달서문화재단 달서가족문화센터,(재)달서문화재단 달서가족문화센터,053-632-3800,,455,5000,제한없음,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
연극 별이 쏟아지는 물창 아래서,달서아트센터 청룡홀,제40회 대구연극제,2023-03-30,2023-03-30,16:00,17:40,유료,(재)달서문화재단 달서아트센터,(사)한국연극협회 대구광역시지회,053-584-8719,,455,30000,12세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
연극 별이 쏟아지는 물창 아래서,달서아트센터 청룡홀,제40회 대구연극제,2023-03-30,2023-03-30,19:30,21:10,유료,(재)달서문화재단 달서아트센터,(사)한국연극협회 대구광역시지회,053-584-8719,,455,30000,12세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
지하철 로맨스,달서아트센터 와룡홀,3월 문화가 있는 날 정기공연,2023-03-31,2023-03-31,19:30,20:30,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,209,10000,5세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
연극 벼리덕이,달서아트센터 청룡홀,제40회 대구연극제,2023-04-01,2023-04-01,16:00,17:40,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,455,30000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
제9회 대한민국 천연 염색전,관음사,전시회+체험+공연,2023-10-28,2023-10-29,11:00,19:00,무료,(사)한국전통문화천연염색협회,(사)한국전통문화천연염색협회,041-630-1778,충청남도+충청남도 홍성군,0,0,,,,,,N,충청남도 홍성군 광천읍 원촌길 85-49,충청남도 홍성군 광천읍 광천리 335-1,,,2023-12-26,4600000,충청남도 홍성군
연극 벼리덕이,달서아트센터 청룡홀,제40회 대구연극제,2023-04-01,2023-04-01,19:30,21:10,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,455,30000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
연극 무좀,달서아트센터 청룡홀,제40회 대구연극제,2023-04-03,2023-04-03,15:00,16:50,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,455,30000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
연극 무좀,달서아트센터 청룡홀,제40회 대구연극제,2023-04-03,2023-04-03,18:00,19:50,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,455,30000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
"Playlist : Untitled, 봄",달서아트센터 청룡홀,계절에 맞는 향기와 함께 즐기는 소규모 음악회,2023-04-12,2023-04-12,19:30,20:30,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,50,20000,13세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
신델라의 클래식 청소년 놀이터,달서아트센터 청룡홀,D-Art 路 대구고교특화형 문화예술프로그램,2023-04-14,2023-04-14,15:00,16:10,유료,(재)달서문화재단 달서아트센터,(재)달서문화재단 달서아트센터,053-584-8719,,455,15000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
동상이몽? 동갑이몽,달서아트센터 와룡홀,달서가족문화센터 개관 5주년 기념 행사,2023-04-18,2023-04-18,10:30,12:00,유료,(재)달서문화재단 달서가족문화센터,(재)달서문화재단 달서가족문화센터,053-632-3800,,209,5000,제한없음,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2023-12-14,3470000,대구광역시 달서구
2018 광명동굴 스페셜 콘서트,광명동굴,바이올리니스트 박지혜 연주 공연,2018-03-01,2018-03-01,15:00,16:00,무료,경기도 광명시청 글로벌관광과,경기도 광명시청,070-4277-8902,,300,,,,광명동굴 입장권 구매 후 입장,http://www.gm.go.kr/cv/index.do,,Y,경기도 광명시 가학로85번길 142,경기도 광명시 가학동 27,,,2022-10-24,3900000,경기도 광명시
세 남자의 클래식한 수다,대공연장,클래식,2022-08-31,2022-08-31,19:30,21:00,유료,(재)당진문화재단,(재)당진문화재단,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
금요음악회,야외,대중음악,2022-09-02,2022-09-02,19:30,21:00,무료,(사)한국생활음악협회 당진지부,(사)한국생활음악협회 당진지부,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
제11회 전국 심훈음악콩쿠르,대공연장,행사,2022-09-03,2022-09-03,09:00,18:00,무료,(사)한국음악협회 당진지부,(사)한국음악협회 당진지부,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
제27회 양성평등주간 평등문화 공감축제,소공연장,행사,2022-09-03,2022-09-03,14:00,17:00,무료,충청남도 당진시청 여성가족과,충청남도 당진시청 여성가족과,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
제9회 정기연주회,소공연장,음악,2022-09-04,2022-09-04,17:00,19:00,무료,당진아트챔버,당진아트챔버,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
제24회 충청남도 학생 연극축제 당진시 연극 뮤지컬 발표대회,소공연장,연극,2022-09-06,2022-09-06,10:30,11:30,무료,충청남도 당진교육지원청,충청남도 당진교육지원청,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
제24회 충청남도 학생 연극축제 당진시 연극 뮤지컬 발표대회,소공연장,연극,2022-09-06,2022-09-06,14:30,15:30,무료,충청남도 당진교육지원청,충청남도 당진교육지원청,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
정조와 햄릿,대공연장,음악극,2022-09-09,2022-09-09,14:00,15:30,유료,(재)당진문화재단,(재)당진문화재단,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
정조와 햄릿,대공연장,음악극,2022-09-09,2022-09-09,19:30,21:00,유료,(재)당진문화재단,(재)당진문화재단,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
반짝반짝 페리오,소공연장,어린이 뮤지컬,2022-09-16,2022-09-16,11:00,12:00,무료,(재)당진문화재단+ 한국메세나협회,(재)당진문화재단+ 한국메세나협회,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
이음과 아름다운 동행전,1전시관,조각전시,2022-09-17,2022-09-22,09:00,18:00,무료,사단법인 한국석조각협회,사단법인 한국석조각협회,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
제18회 당진 전국사진공모전 작품전시제18회 당진지부 회원 작품전,2전시관,사진작품 전시,2022-09-17,2022-09-20,09:00,18:00,무료,(사)한국사진작가협회 당진지부,(사)한국사진작가협회 당진지부,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
Shall We Dance,소공연장,음악,2022-09-17,2022-09-17,19:30,21:00,무료,클래식뮤직소사이어티,클래식뮤직소사이어티,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
캐리TV러브콘서트-KOP,대공연장,아동극,2022-09-17,2022-09-17,11:00,12:00,유료,㈜드림엔터테인먼트,㈜드림엔터테인먼트,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
캐리TV러브콘서트-KOP,대공연장,아동극,2022-09-17,2022-09-17,14:00,15:00,유료,㈜드림엔터테인먼트,㈜드림엔터테인먼트,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
캐리TV러브콘서트-KOP,대공연장,아동극,2022-09-17,2022-09-17,16:30,17:30,유료,㈜드림엔터테인먼트,㈜드림엔터테인먼트,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
캐리TV러브콘서트-KOP,대공연장,아동극,2022-09-18,2022-09-18,11:00,12:00,유료,㈜드림엔터테인먼트,㈜드림엔터테인먼트,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
캐리TV러브콘서트-KOP,대공연장,아동극,2022-09-18,2022-09-18,14:00,15:00,유료,㈜드림엔터테인먼트,㈜드림엔터테인먼트,,,,,,,,,, ,충청남도 당진시 무수동2길 25-21,,,,2022-12-01,5680000,충청남도 당진시
역사인물콘서트,홍주문화회관,공연,2023-10-17,2023-10-17,19:30,21:00,무료,아르티스,아르티스,041-630-1778,충청남도+충청남도 홍성군,600,0,,,,,,Y,충청남도 홍성군 홍성읍 내포로 164,충청남도 홍성군 홍성읍 옥암리 125-1,,,2023-12-26,4600000,충청남도 홍성군
문화의날기념식및동아리예술제,홍성문화원,연례행사,2023-10-21,2023-10-21,10:00,15:00,무료,홍성문화원,홍성문화원,041-632-3613,충청남도 홍성군,230,0,,,,http://hs.cnkccf.or.kr/,,Y,충청남도 홍성군 홍성읍 충절로951번길 16,충청남도 홍성군 홍성읍 고암리 689-4,,,2023-12-26,4600000,충청남도 홍성군
2023 홍성군립 예술단 가을 문화축제,홍주문화회관,기획공연,2023-10-25,2023-10-25,19:00,21:00,무료,홍성군립예술단,충청남도 홍성군+홍주문화관광재단,041-630-8840,충청남도 홍성군+홍주문화관광재단,600,0,,,,https://hongju.or.kr/,,Y,충청남도 홍성군 홍성읍 내포로 164,충청남도 홍성군 홍성읍 옥암리 125-1,,,2023-12-26,4600000,충청남도 홍성군
소소한 콘서트,홍성문화원,기획행사,2023-10-31,2023-10-31,19:00,21:00,무료,홍성문화원,홍성문화원,041-632-3613,충청남도+충청남도 홍성군,230,0,,,,http://hs.cnkccf.or.kr/,,Y,충청남도 홍성군 홍성읍 충절로951번길 16,충청남도 홍성군 홍성읍 고암리 689-4,,,2023-12-26,4600000,충청남도 홍성군
캘리그라피 작가 이은희 개인전,홍주문화회관,전시회,2023-11-04,2023-11-10,09:00,18:00,무료,이은희,이은희,041-630-1778,충청남도+충청남도 홍성군,600,0,,,,,,Y,충청남도 홍성군 홍성읍 내포로 164,충청남도 홍성군 홍성읍 옥암리 125-1,,,2023-12-26,4600000,충청남도 홍성군
"홍성역사인물 대상 국악창작곡 공연 지산, 백야",홍주문화회관,공연,2023-11-19,2023-11-19,17:00,19:00,무료,사단법인 소리너울,사단법인 소리너울,041-630-1778,충청남도+충청남도 홍성군,600,0,,,,,,Y,충청남도 홍성군 홍성읍 내포로 164,충청남도 홍성군 홍성읍 옥암리 125-1,,,2023-12-26,4600000,충청남도 홍성군
